"timestamp","sky","ground","delta"
"2022-01-29 11:25:59.518745",-21.0,5.0,26.0
"2022-01-29 11:26:03.358488",-21.0,4.0,25.0
"2022-01-29 11:26:07.198585",-21.0,4.0,25.0
"2022-01-29 11:26:11.038669",-22.0,4.0,26.0
"2022-01-29 11:26:14.878627",-22.0,5.0,27.0
"2022-01-29 11:26:18.718407",-22.0,4.0,26.0
"2022-01-29 11:26:22.558407",-21.0,4.0,25.0
"2022-01-29 11:26:26.397785",-21.0,4.0,25.0
"2022-01-29 11:26:30.238481",-20.0,4.0,24.0
"2022-01-29 11:26:34.078526",-20.0,4.0,24.0
"2022-01-29 11:26:37.918397",-20.0,4.0,24.0
"2022-01-29 11:26:41.757831",-20.0,4.0,24.0
"2022-01-29 11:26:45.598395",-20.0,4.0,24.0
"2022-01-29 11:26:49.448385",-19.0,4.0,23.0
"2022-01-29 11:26:53.358397",-19.0,4.0,23.0
"2022-01-29 11:26:57.197779",-18.0,4.0,22.0
"2022-01-29 11:27:01.038405",-18.0,4.0,22.0
"2022-01-29 11:27:04.958415",-18.0,4.0,22.0
"2022-01-29 11:27:08.798411",-18.0,4.0,22.0
"2022-01-29 11:27:12.637788",-18.0,4.0,22.0
"2022-01-29 11:27:16.478478",-19.0,4.0,23.0
"2022-01-29 11:27:20.318409",-19.0,4.0,23.0
"2022-01-29 11:27:24.158402",-19.0,4.0,23.0
"2022-01-29 11:27:27.998224",-19.0,4.0,23.0
"2022-01-29 11:27:31.838404",-20.0,4.0,24.0
"2022-01-29 11:27:35.678479",-20.0,4.0,24.0
"2022-01-29 11:27:39.518457",-20.0,4.0,24.0
"2022-01-29 11:27:43.358389",-20.0,4.0,24.0
"2022-01-29 11:27:47.198470",-20.0,4.0,24.0
"2022-01-29 11:27:51.038402",-20.0,4.0,24.0
"2022-01-29 11:27:54.878549",-20.0,4.0,24.0
"2022-01-29 11:27:58.718470",-20.0,4.0,24.0
"2022-01-29 11:28:02.558400",-20.0,4.0,24.0
"2022-01-29 11:28:06.397821",-20.0,4.0,24.0
"2022-01-29 11:28:10.318265",-20.0,4.0,24.0
"2022-01-29 11:28:14.158410",-20.0,4.0,24.0
"2022-01-29 11:28:17.998399",-21.0,4.0,25.0
"2022-01-29 11:28:21.838490",-21.0,4.0,25.0
"2022-01-29 11:28:25.677792",-21.0,4.0,25.0
"2022-01-29 11:28:29.518395",-21.0,4.0,25.0
"2022-01-29 11:28:33.358400",-21.0,4.0,25.0
"2022-01-29 11:28:37.198401",-21.0,4.0,25.0
"2022-01-29 11:28:41.037850",-21.0,4.0,25.0
"2022-01-29 11:28:44.878476",-21.0,4.0,25.0
"2022-01-29 11:28:48.718404",-22.0,4.0,26.0
"2022-01-29 11:28:52.558403",-22.0,4.0,26.0
"2022-01-29 11:28:56.397924",-22.0,4.0,26.0
"2022-01-29 11:29:00.248887",-22.0,4.0,26.0
"2022-01-29 11:29:04.157826",-22.0,4.0,26.0
"2022-01-29 11:29:07.998546",-22.0,4.0,26.0
"2022-01-29 11:29:11.838418",-22.0,4.0,26.0
"2022-01-29 11:29:15.678534",-22.0,4.0,26.0
"2022-01-29 11:29:19.518596",-22.0,4.0,26.0
"2022-01-29 11:29:23.358401",-22.0,4.0,26.0
"2022-01-29 11:29:27.198430",-22.0,4.0,26.0
"2022-01-29 11:29:31.037803",-22.0,4.0,26.0
"2022-01-29 11:29:34.878559",-22.0,4.0,26.0
"2022-01-29 11:29:38.718398",-22.0,4.0,26.0
"2022-01-29 11:29:42.558532",-22.0,4.0,26.0
"2022-01-29 11:29:46.398409",-22.0,4.0,26.0
"2022-01-29 11:29:50.238410",-22.0,4.0,26.0
"2022-01-29 11:29:54.077784",-23.0,4.0,27.0
"2022-01-29 11:29:57.918402",-23.0,4.0,27.0
"2022-01-29 11:30:01.768175",-22.0,4.0,26.0
"2022-01-29 11:30:05.678402",-23.0,4.0,27.0
"2022-01-29 11:30:09.517779",-23.0,4.0,27.0
"2022-01-29 11:30:13.358411",-23.0,4.0,27.0
"2022-01-29 11:30:17.198393",-24.0,4.0,28.0
"2022-01-29 11:30:21.038481",-24.0,4.0,28.0
"2022-01-29 11:30:24.877844",-24.0,4.0,28.0
"2022-01-29 11:30:28.718487",-24.0,4.0,28.0
"2022-01-29 11:30:32.558406",-25.0,4.0,29.0
"2022-01-29 11:30:36.398473",-24.0,3.0,27.0
"2022-01-29 11:30:40.238307",-25.0,3.0,28.0
