"timestamp","sky","ground","delta"
"2022-01-26 11:52:53.795517",1.0,3.0,2.0
"2022-01-26 11:52:58.675708",2.0,3.0,1.0
"2022-01-26 11:53:03.556075",1.0,3.0,2.0
"2022-01-26 11:53:08.435536",1.0,3.0,2.0
"2022-01-26 11:53:13.335712",1.0,3.0,2.0
"2022-01-26 11:53:18.195944",1.0,3.0,2.0
"2022-01-26 11:53:23.076066",1.0,3.0,2.0
"2022-01-26 11:53:27.956070",1.0,3.0,2.0
"2022-01-26 11:53:32.836060",1.0,3.0,2.0
"2022-01-26 11:53:37.726197",1.0,3.0,2.0
"2022-01-26 11:53:42.596053",1.0,3.0,2.0
"2022-01-26 11:53:47.476067",1.0,3.0,2.0
"2022-01-26 11:53:52.356073",1.0,3.0,2.0
"2022-01-26 11:53:57.236055",1.0,3.0,2.0
"2022-01-26 11:54:02.156428",1.0,3.0,2.0
"2022-01-26 11:54:06.996053",2.0,3.0,1.0
"2022-01-26 11:54:11.876174",2.0,3.0,1.0
"2022-01-26 11:54:16.756068",2.0,3.0,1.0
"2022-01-26 11:54:21.636073",2.0,3.0,1.0
"2022-01-26 11:54:26.516065",2.0,3.0,1.0
"2022-01-26 11:54:31.406074",2.0,3.0,1.0
"2022-01-26 11:54:36.276065",2.0,3.0,1.0
"2022-01-26 11:54:41.156368",2.0,3.0,1.0
"2022-01-26 11:54:46.035490",2.0,3.0,1.0
"2022-01-26 11:54:50.915642",2.0,3.0,1.0
"2022-01-26 11:54:55.796078",2.0,3.0,1.0
"2022-01-26 11:55:00.675535",2.0,2.0,0.0
"2022-01-26 11:55:05.556079",2.0,2.0,0.0
"2022-01-26 11:55:10.436085",2.0,2.0,0.0
"2022-01-26 11:55:15.315899",2.0,3.0,1.0
"2022-01-26 11:55:20.195461",2.0,3.0,1.0
"2022-01-26 11:55:25.076054",3.0,3.0,0.0
"2022-01-26 11:55:29.955774",3.0,3.0,0.0
"2022-01-26 11:55:34.836283",3.0,3.0,0.0
"2022-01-26 11:55:39.716065",3.0,3.0,0.0
"2022-01-26 11:55:44.596072",3.0,3.0,0.0
"2022-01-26 11:55:49.476064",3.0,3.0,0.0
"2022-01-26 11:55:54.356199",2.0,3.0,1.0
"2022-01-26 11:55:59.236060",2.0,3.0,1.0
"2022-01-26 11:56:04.116158",2.0,3.0,1.0
"2022-01-26 11:56:09.006117",2.0,3.0,1.0
"2022-01-26 11:56:13.876150",2.0,3.0,1.0
"2022-01-26 11:56:18.755536",1.0,3.0,2.0
"2022-01-26 11:56:23.635967",1.0,3.0,2.0
"2022-01-26 11:56:28.516625",1.0,3.0,2.0
"2022-01-26 11:56:33.396059",1.0,3.0,2.0
"2022-01-26 11:56:38.276074",1.0,3.0,2.0
"2022-01-26 11:56:43.156169",1.0,3.0,2.0
"2022-01-26 11:56:48.035464",1.0,3.0,2.0
"2022-01-26 11:56:52.915445",2.0,3.0,1.0
"2022-01-26 11:56:57.796060",2.0,3.0,1.0
"2022-01-26 11:57:02.676476",2.0,3.0,1.0
"2022-01-26 11:57:07.556116",2.0,3.0,1.0
"2022-01-26 11:57:12.436064",2.0,3.0,1.0
"2022-01-26 11:57:17.316069",2.0,3.0,1.0
"2022-01-26 11:57:22.196067",2.0,3.0,1.0
"2022-01-26 11:57:27.076072",1.0,3.0,2.0
"2022-01-26 11:57:31.956065",1.0,3.0,2.0
"2022-01-26 11:57:36.836145",1.0,3.0,2.0
"2022-01-26 11:57:41.716074",1.0,3.0,2.0
"2022-01-26 11:57:46.596125",1.0,3.0,2.0
"2022-01-26 11:57:51.476050",1.0,3.0,2.0
"2022-01-26 11:57:56.356061",1.0,3.0,2.0
"2022-01-26 11:58:01.236061",1.0,3.0,2.0
"2022-01-26 11:58:06.156081",1.0,3.0,2.0
"2022-01-26 11:58:10.996107",1.0,3.0,2.0
"2022-01-26 11:58:15.875464",1.0,3.0,2.0
"2022-01-26 11:58:20.756061",1.0,3.0,2.0
"2022-01-26 11:58:25.636067",1.0,3.0,2.0
"2022-01-26 11:58:30.555450",0.0,3.0,3.0
"2022-01-26 11:58:35.395454",0.0,3.0,3.0
"2022-01-26 11:58:40.275936",0.0,3.0,3.0
"2022-01-26 11:58:45.156006",0.0,3.0,3.0
"2022-01-26 11:58:50.036060",1.0,3.0,2.0
"2022-01-26 11:58:54.916064",1.0,3.0,2.0
"2022-01-26 11:58:59.796247",1.0,3.0,2.0
"2022-01-26 11:59:04.676036",0.0,3.0,3.0
"2022-01-26 11:59:09.556070",1.0,3.0,2.0
"2022-01-26 11:59:14.436068",1.0,3.0,2.0
"2022-01-26 11:59:19.316068",1.0,3.0,2.0
"2022-01-26 11:59:24.196179",1.0,2.0,1.0
"2022-01-26 11:59:29.076072",1.0,2.0,1.0
"2022-01-26 11:59:33.955451",1.0,2.0,1.0
"2022-01-26 11:59:38.835447",1.0,2.0,1.0
"2022-01-26 11:59:43.716068",1.0,2.0,1.0
"2022-01-26 11:59:48.596207",0.0,2.0,2.0
"2022-01-26 11:59:53.476071",0.0,2.0,2.0
"2022-01-26 11:59:58.366142",0.0,2.0,2.0
"2022-01-26 12:00:03.236069",0.0,2.0,2.0
"2022-01-26 12:00:08.116084",0.0,2.0,2.0
"2022-01-26 12:00:12.995927",0.0,2.0,2.0
"2022-01-26 12:00:17.876075",1.0,2.0,1.0
"2022-01-26 12:00:22.755931",1.0,2.0,1.0
"2022-01-26 12:00:27.636581",0.0,2.0,2.0
"2022-01-26 12:00:32.516095",1.0,2.0,1.0
"2022-01-26 12:00:37.396067",1.0,2.0,1.0
"2022-01-26 12:00:42.275928",0.0,2.0,2.0
"2022-01-26 12:00:47.156083",1.0,2.0,1.0
"2022-01-26 12:00:52.035450",1.0,2.0,1.0
"2022-01-26 12:00:56.915469",1.0,2.0,1.0
"2022-01-26 12:01:01.796178",1.0,2.0,1.0
"2022-01-26 12:01:06.676225",1.0,2.0,1.0
"2022-01-26 12:01:11.556082",1.0,2.0,1.0
"2022-01-26 12:01:16.435709",1.0,2.0,1.0
"2022-01-26 12:01:21.316068",1.0,2.0,1.0
"2022-01-26 12:01:26.195661",1.0,2.0,1.0
"2022-01-26 12:01:31.076177",1.0,2.0,1.0
"2022-01-26 12:01:35.956059",1.0,2.0,1.0
"2022-01-26 12:01:40.836058",1.0,2.0,1.0
"2022-01-26 12:01:45.716124",1.0,2.0,1.0
"2022-01-26 12:01:50.596071",0.0,2.0,2.0
"2022-01-26 12:01:55.476227",0.0,2.0,2.0
"2022-01-26 12:02:00.356066",0.0,2.0,2.0
"2022-01-26 12:02:05.236065",0.0,2.0,2.0
"2022-01-26 12:02:10.116647",0.0,2.0,2.0
"2022-01-26 12:02:14.996067",0.0,2.0,2.0
"2022-01-26 12:02:19.879435",0.0,2.0,2.0
"2022-01-26 12:02:24.756139",1.0,2.0,1.0
"2022-01-26 12:02:29.636063",0.0,2.0,2.0
"2022-01-26 12:02:34.516080",0.0,2.0,2.0
"2022-01-26 12:02:39.395448",1.0,2.0,1.0
"2022-01-26 12:02:44.275932",1.0,2.0,1.0
"2022-01-26 12:02:49.156121",1.0,2.0,1.0
"2022-01-26 12:02:54.036076",1.0,2.0,1.0
"2022-01-26 12:02:58.916068",1.0,2.0,1.0
"2022-01-26 12:03:03.796072",1.0,2.0,1.0
"2022-01-26 12:03:08.675483",1.0,2.0,1.0
"2022-01-26 12:03:13.555543",1.0,2.0,1.0
"2022-01-26 12:03:18.435536",1.0,2.0,1.0
"2022-01-26 12:03:23.316082",1.0,2.0,1.0
"2022-01-26 12:03:28.196539",1.0,2.0,1.0
"2022-01-26 12:03:33.076077",1.0,2.0,1.0
"2022-01-26 12:03:37.956065",1.0,2.0,1.0
"2022-01-26 12:03:42.846277",1.0,2.0,1.0
"2022-01-26 12:03:47.715470",1.0,2.0,1.0
"2022-01-26 12:03:52.595657",1.0,2.0,1.0
"2022-01-26 12:03:57.475458",1.0,2.0,1.0
"2022-01-26 12:04:02.356069",1.0,2.0,1.0
"2022-01-26 12:04:07.236077",1.0,2.0,1.0
"2022-01-26 12:04:12.116058",1.0,2.0,1.0
"2022-01-26 12:04:16.996058",1.0,2.0,1.0
"2022-01-26 12:04:21.876058",1.0,2.0,1.0
"2022-01-26 12:04:26.756143",1.0,2.0,1.0
"2022-01-26 12:04:31.636083",1.0,2.0,1.0
"2022-01-26 12:04:36.516067",2.0,2.0,0.0
"2022-01-26 12:04:41.396074",2.0,2.0,0.0
"2022-01-26 12:04:46.276056",2.0,2.0,0.0
"2022-01-26 12:04:51.156069",2.0,2.0,0.0
"2022-01-26 12:04:56.036059",2.0,2.0,0.0
"2022-01-26 12:05:00.916065",2.0,2.0,0.0
"2022-01-26 12:05:05.795582",2.0,2.0,0.0
"2022-01-26 12:05:10.676064",2.0,2.0,0.0
"2022-01-26 12:05:15.556068",2.0,2.0,0.0
"2022-01-26 12:05:20.436060",2.0,2.0,0.0
"2022-01-26 12:05:25.395938",2.0,2.0,0.0
"2022-01-26 12:05:30.276071",1.0,2.0,1.0
"2022-01-26 12:05:35.156135",1.0,2.0,1.0
"2022-01-26 12:05:40.036129",2.0,2.0,0.0
"2022-01-26 12:05:44.916069",2.0,2.0,0.0
"2022-01-26 12:05:49.806061",2.0,2.0,0.0
"2022-01-26 12:05:54.676199",1.0,2.0,1.0
"2022-01-26 12:05:59.556074",1.0,2.0,1.0
"2022-01-26 12:06:04.436251",1.0,2.0,1.0
"2022-01-26 12:06:09.315442",1.0,2.0,1.0
"2022-01-26 12:06:14.196067",1.0,2.0,1.0
"2022-01-26 12:06:19.076195",1.0,2.0,1.0
"2022-01-26 12:06:23.956174",1.0,2.0,1.0
"2022-01-26 12:06:28.836076",1.0,2.0,1.0
"2022-01-26 12:06:33.716073",1.0,2.0,1.0
"2022-01-26 12:06:38.596125",1.0,2.0,1.0
"2022-01-26 12:06:43.476215",1.0,2.0,1.0
"2022-01-26 12:06:48.356109",1.0,2.0,1.0
"2022-01-26 12:06:53.236072",1.0,2.0,1.0
"2022-01-26 12:06:58.116072",1.0,2.0,1.0
"2022-01-26 12:07:02.996077",1.0,2.0,1.0
"2022-01-26 12:07:07.876060",1.0,2.0,1.0
"2022-01-26 12:07:12.796064",1.0,2.0,1.0
"2022-01-26 12:07:17.636062",1.0,2.0,1.0
"2022-01-26 12:07:22.516068",1.0,2.0,1.0
"2022-01-26 12:07:27.405531",0.0,2.0,2.0
"2022-01-26 12:07:32.275942",1.0,2.0,1.0
"2022-01-26 12:07:37.156066",1.0,2.0,1.0
"2022-01-26 12:07:42.036080",1.0,2.0,1.0
"2022-01-26 12:07:46.916064",1.0,2.0,1.0
"2022-01-26 12:07:51.796059",1.0,2.0,1.0
"2022-01-26 12:07:56.676069",1.0,2.0,1.0
"2022-01-26 12:08:01.556195",1.0,2.0,1.0
"2022-01-26 12:08:06.436078",1.0,2.0,1.0
"2022-01-26 12:08:11.316057",1.0,2.0,1.0
"2022-01-26 12:08:16.196061",1.0,2.0,1.0
"2022-01-26 12:08:21.075920",1.0,2.0,1.0
"2022-01-26 12:08:25.955491",2.0,2.0,0.0
"2022-01-26 12:08:30.836066",1.0,2.0,1.0
"2022-01-26 12:08:35.716061",2.0,2.0,0.0
"2022-01-26 12:08:40.635938",2.0,2.0,0.0
"2022-01-26 12:08:45.476073",2.0,2.0,0.0
"2022-01-26 12:08:50.356067",2.0,2.0,0.0
"2022-01-26 12:08:55.235447",2.0,2.0,0.0
"2022-01-26 12:09:00.115445",2.0,2.0,0.0
"2022-01-26 12:09:04.995931",2.0,2.0,0.0
"2022-01-26 12:09:09.876078",2.0,2.0,0.0
"2022-01-26 12:09:14.756077",2.0,2.0,0.0
"2022-01-26 12:09:19.635459",2.0,2.0,0.0
"2022-01-26 12:09:24.516054",2.0,2.0,0.0
"2022-01-26 12:09:29.395655",2.0,2.0,0.0
"2022-01-26 12:09:34.276063",2.0,2.0,0.0
"2022-01-26 12:09:39.156087",1.0,2.0,1.0
"2022-01-26 12:09:44.036065",1.0,2.0,1.0
"2022-01-26 12:09:48.916120",1.0,2.0,1.0
"2022-01-26 12:09:53.796084",1.0,2.0,1.0
